title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Oportunidad Para Inversores En Monte Grande! Lote De 1560 Mt;420000.0;10560;39.77272727272727;Av. Pedro Dreyer 1500, Monte Grand...;https://terreno.mercadolibre.com.ar/MLA-1108007283-oportunidad-para-inversores-en-monte-grande-lote-de-1560-mt-_JM#position=5&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_710472-MLA47860048088_102021-W.jpg;2023-10-19;;
Lote En Venta!;12000.0;300;40.0;Alejo Ortega & Ayacucho, Esteban E...;https://terreno.mercadolibre.com.ar/MLA-1475962014-lote-en-venta-_JM#position=17&search_layout=grid&type=item&tracking_id=8c17b2a8-e3fa-4266-9fd1-0f7d162cca88;https://http2.mlstatic.com/D_NQ_NP_938093-MLA71170925001_082023-W.jpg;2023-10-19;;
Anticipo $1.000.000;12000.0;270;44.44444444444444;Maipú Y Cristóbal Colón , Monte Gr...;https://terreno.mercadolibre.com.ar/MLA-1365545906-anticipo-1000000-_JM#position=9&search_layout=grid&type=item&tracking_id=17076fdf-5c14-4158-b591-4be35a1810e7;https://http2.mlstatic.com/D_NQ_NP_971643-MLA54222838283_032023-W.jpg;2023-10-19;;
Anticipo $1.000.000;12000.0;270;44.44444444444444;Maipú Y Cristóbal Colón , Monte Gr...;https://terreno.mercadolibre.com.ar/MLA-1307406352-anticipo-1000000-_JM#position=46&search_layout=grid&type=item&tracking_id=ba160732-126e-4954-8de1-dc966313f615;https://http2.mlstatic.com/D_NQ_NP_751997-MLA53285770542_012023-W.jpg;2023-10-19;;
Excelente Loteo En Barrio Santa Cecilia!;15024.0;300;50.08;Mercedes 00, Monte Grande, Esteban...;https://terreno.mercadolibre.com.ar/MLA-1158019739-excelente-loteo-en-barrio-santa-cecilia-_JM#position=16&search_layout=grid&type=item&tracking_id=c19c581b-ce30-49e4-9743-1e52fce2b08f;https://http2.mlstatic.com/D_NQ_NP_644868-MLA51279865374_082022-W.jpg;2023-10-19;;
Venta 3 Lotes Terreno Monte Grande;95000.0;1800;52.77777777777778;Saavedra 729, Monte Grande, Esteba...;https://terreno.mercadolibre.com.ar/MLA-930750858-venta-3-lotes-terreno-monte-grande-_JM#position=7&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_680392-MLA46857652573_072021-W.jpg;2023-10-19;;
Terreno - Monte Grande;39000.0;683;57.10102489019034;Alejo Ortega Al 1300, Monte Grande...;https://terreno.mercadolibre.com.ar/MLA-918523199-terreno-monte-grande-_JM#position=43&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_823632-MLA45757985698_042021-W.jpg;2023-10-19;;
Venta, Lote, San Roque, Canning Village Al 100;41000.0;640;64.0625;Venta, Lote, San Roque, Canning Vi...;https://terreno.mercadolibre.com.ar/MLA-1499264058-venta-lote-san-roque-canning-village-al-100-_JM#position=35&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_607207-MLA71518104622_092023-W.jpg;2023-10-19;;
Venta - Lote A La Laguna En San Roque;42000.0;650;64.61538461538461;Venta - Lote A La Laguna En San Ro...;https://terreno.mercadolibre.com.ar/MLA-1490384324-venta-lote-a-la-laguna-en-san-roque-_JM#position=30&search_layout=grid&type=item&tracking_id=dcbad6c3-5469-47c4-a943-66c465431961;https://http2.mlstatic.com/D_NQ_NP_831889-MLA71436196851_082023-W.jpg;2023-10-19;;
Parcela Industrial En Venta En Importante Avenida;320000.0;4700;68.08510638297872;Avenida V. Fair & Pedro Gandulfo, ...;https://terreno.mercadolibre.com.ar/MLA-1125069393-parcela-industrial-en-venta-en-importante-avenida-_JM#position=3&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_874603-MLA49214052832_022022-W.jpg;2023-10-19;;
